,no_oxidation,hydroperoxyl,hydroxyl,keto,aldehyde,carboxylic_acid,aldehyde_short,carboxylic_acid_short,epoxy_no_db,keto_hydroxyl,dihydroxyl,hydroxyl_no_db,keto_no_db
SMILES,C/C=C/,C(OO)/C=C/,C(O)/C=C/,C(=O)/C=C/,CC=O,CC(O)=O,C=O,C(O)=O,C1C(O1)C,C(O)C(=O)C,C(O)C(O)C,C(O)CC,C(=O)CC
FRAG,C,C(OO),C(O),C(=O),CC=O,CC(O)=O,C=O,C(O)=O,C,C(O),C(O),C(O),C(=O)
OXIDATIONLEVEL,1,1,1,1,1,1,2,2,2,2,2,3,3
OAP,0,1,1,1,0,0,0,0,1,2,2,1,1
OCP,0,0,0,0,1,1,1,1,0,0,0,0,0
DB,1,1,1,1,0,0,0,0,0,0,0,0,0
OH,0,0,1,0,0,0,0,0,0,1,2,1,0
KETO,0,0,0,1,0,0,0,0,0,1,0,0,1
CHO,0,0,0,0,1,0,1,0,0,0,0,0,0
COOH,0,0,0,0,0,1,0,1,0,0,0,0,0
EPOXY,0,0,0,0,0,0,0,0,1,0,0,0,0
OOH,0,1,0,0,0,0,0,0,0,0,0,0,0
