FA,Link,C,DB,elem,mass,[M-H]-,[M+FA-H]-,[M-W-H]-,[M+FA-W-H]-,NL-H2O,EXACT_ABBR,SMILES
14:0,A,14,0,C14H28O2,228.20893,227.2011,273.20658,245.21166,291.21714,210.19836,14:0,OC(CCCCCCCCCCCCC)=O
16:0,A,16,0,C16H32O2,256.24023,255.2324,301.23788,273.24296,319.24844,238.22966,16:0,OC(CCCCCCCCCCCCCCC)=O
16:1,A,16,1,C16H30O2,254.22458,253.21675,299.22223,271.22731,317.23279,236.21401,16:1(9Z),OC(CCCCCCC/C=C\CCCCCC)=O
18:0,A,18,0,C18H36O2,284.27153,283.2637,329.26918,301.27427,347.27975,266.26096,18:0,OC(CCCCCCCCCCCCCCCCC)=O
18:1,A,18,1,C18H34O2,282.25588,281.24805,327.25353,299.25862,345.2641,264.24531,18:1(9Z),OC(CCCCCCC/C=C\CCCCCCCC)=O
18:2,A,18,2,C18H32O2,280.24023,279.2324,325.23788,297.24296,343.24844,262.22966,"18:2(9Z,12Z)",OC(CCCCCCC/C=C\C/C=C\CCCCC)=O
18:3,A,18,3,C18H30O2,278.22458,277.21675,323.22223,295.22731,341.23279,260.21401,"18:3(6Z,9Z,12Z)",OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O
18:4,A,18,4,C18H28O2,276.20893,275.2011,321.20658,293.21166,339.21714,258.19836,"18:4(6Z,9Z,12Z,15Z)",OC(CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O
20:0,A,20,0,C20H40O2,312.30283,311.295,357.30048,329.30557,375.31105,294.29226,20:0,OC(CCCCCCCCCCCCCCCCCCC)=O
20:1,A,20,1,C20H38O2,310.28718,309.27935,355.28483,327.28992,373.2954,292.27661,20:1(11Z),OC(CCCCCCCCC/C=C\CCCCCCCC)=O
20:2,A,20,2,C20H36O2,308.27153,307.2637,353.26918,325.27427,371.27975,290.26096,"20:2(11Z,14Z)",OC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O
20:3,A,20,3,C20H34O2,306.25588,305.24805,351.25353,323.25862,369.2641,288.24531,"20:3(5Z,8Z,11Z)",OC(CCC/C=C\C/C=C\C/C=C\CCCCCCCC)=O
20:4,A,20,4,C20H32O2,304.24023,303.2324,349.23788,321.24296,367.24844,286.22966,"20:4(5Z,8Z,11Z,14Z)",OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O
20:5,A,20,5,C20H30O2,302.22458,301.21675,347.22223,319.22731,365.23279,284.21401,"20:5(5Z,8Z,11Z,14Z,17Z)",OC(CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O
22:0,A,22,0,C22H44O2,340.33413,339.3263,385.33178,357.33687,403.34235,322.32356,22:0,OC(CCCCCCCCCCCCCCCCCCCCCCC)=O
22:1,A,22,1,C22H42O2,338.31848,337.31065,383.31613,355.32122,401.3267,320.30791,22:1(13Z),OC(CCCCCCCCCCC/C=C\CCCCCCCC)=O
22:2,A,22,2,C22H40O2,336.30283,335.295,381.30048,353.30557,399.31105,318.29226,"22:2(13Z,16Z)",OC(CCCCCCCCCCC/C=C\C/C=C\CCCCC)=O
22:3,A,22,3,C22H38O2,334.28718,333.27935,379.28483,351.28992,397.2954,316.27661,"22:3(7Z,10Z,13Z)",OC(CCCCC/C=C\C/C=C\C/C=C\CCCCCCCC)=O
22:4,A,22,4,C22H36O2,332.27153,331.2637,377.26918,349.27427,395.27975,314.26096,"22:4(7Z,10Z,13Z,16Z)",OC(CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O
22:5,A,22,5,C22H34O2,330.25588,329.24805,375.25353,347.25862,393.2641,312.24531,"22:5(4Z,7Z,10Z,13Z,16Z)",OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O
22:6,A,22,6,C22H32O2,328.24023,327.2324,373.23788,345.24296,391.24844,310.22966,"22:6(4Z,7Z,10Z,13Z,16Z,19Z)",OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O
